Id,SalePrice
0150,007993.79513779037
3082,086781.60291521418
3081,050163.8526797158
3080,093480.50323050000
3089,774643.66078700558
3088,025397.0138074636
3087,051650.29845767670
3086,059912.49299951201
3085,730977.12093341780
3074,034157.93662685651
3073,707040.13636594091
3072,070720.10226723639
3071,036232.75944915167
3070,054783.1995082203
3079,011200.81797797631
3078,478892.3005280748
3077,755965.3207819076
3076,761529.456067595
3075,791675.8382007340
3064,425676.57447038181
3063,433028.3802280085
3062,748115.2767377637
3061,067815.9599409971
3060,069897.9551927267
3069,067895.18429025847
3068,702194.70249817609
3067,400375.3027496406
3066,759681.9900674971
3065,735248.11124463968
3054,731220.3409235787
3053,708334.12113738
3052,037934.03887050277
3051,093820.43462506019
3050,763619.0916471905
3059,792025.6495819018
3058,771929.76747813522
3057,704991.16468793617
3056,094933.72501247690
3055,094933.72501247690
3944,055867.36151304229
3943,097235.21183365433
3942,025322.86077388976
3941,755032.5735484138
3940,715560.7409741065
3949,778299.43716516239
3948,736769.2347796361
3947,741294.93674364651
3946,064581.56541079396
3945,022161.29299560486
3934,019629.75965110251
3933,012178.63625429419
3932,051737.93746986226
3931,022350.86184444117
3930,087450.9498133316
3939,702660.1114375498
3938,057039.85191348060
3937,018070.06507253148
3936,023960.71074607849
3935,775789.1280042837
3924,075775.54478502151
3923,040380.1314022783
3922,092410.73143278827
3921,031269.06705804630
3920,001017.30937255773
3929,000727.62583911196
3928,007910.09917924647
3927,67266.62046536449
3926,048715.8374909946
3925,017257.79346191700
3914,026594.8447151365
3913,002297.11325465805
3912,97499.30459016438
3911,088293.27675655041
3910,041339.06513776490
3919,017714.27342604011
3918,005024.42818512130
3917,16773.34095675240
3916,095458.97208287162
3915,770863.9776480198
3904,010891.2371612661
3903,088163.4901577947
3902,014358.36470603088
3901,069331.80998136887
3900,58014.32776251040
3909,070518.75348396828
3908,018306.4624536845
3907,079457.80948035193
3906,011480.14621135866
3905,000985.51427715317
3994,042853.65510252692
3993,079848.01287596036
3992,010260.17350060209
3991,049086.07089887313
3990,075457.60782384619
3999,089692.534049813
3998,037616.0468757807
3997,074902.30654335589
3996,000519.68946302795
3995,037048.03072087752
3984,042338.640925315
3983,084617.22959837090
3982,036593.46952811820
3981,038615.72776956302
3980,054062.18648264683
3989,018388.11486318008
3988,777653.62480427
3987,29195.65055288709
3986,069963.03143920566
3985,65678.0950990005
3974,041711.01438911469
3973,002316.6688878629
3972,075645.46487558101
3971,741813.49943995922
3970,018598.783197468
3979,773918.60463674731
3978,747945.74677156202
3977,739371.12422559440
3976,042927.37162322687
3975,045474.6687835351
3964,734804.28749417430
3963,041686.02749419239
3962,074332.10150246253
3961,769183.90771879589
3960,717036.53438325740
3969,053283.68255039309
3968,48195.9821560287
3967,038183.08865132711
3966,044418.55648840870
3965,031901.21022299445
3954,018134.18527356972
3953,25844.45738401671
3952,005910.15788204423
3951,079294.15421926631
3950,041986.86767617309
3959,073369.23611170410
3958,775052.29680843150
3957,093282.6052760128
3956,067902.14440025347
3955,703565.20513277777
3844,705509.51315037866
3843,04292.940352713529
3842,077494.73917312549
3841,94411.81079514227
3840,781953.89860815949
3849,758466.3758010917
3848,059719.09477599512
3847,771613.54905117496
3846,779270.06963087591
3845,738948.13505396177
3834,018099.00644976872
3833,016938.42323592461
3832,020885.37227196418
3831,051454.9525217289
3830,004691.7244542607
3839,21406.4143914949
3838,21406.4143914949
3837,63702.4596570150
3836,036738.93008641946
3835,074842.91232407447
3824,068842.30529681010
3823,017340.31353392081
3822,040102.26227932711
3821,757683.8692090933
3820,736754.44093973077
3829,075539.21919085808
3828,093554.27622619150
3827,093292.4131255840
3826,797481.053107653
3825,067109.20796762557
3814,473885.7379584063
3813,775671.35846783839
3812,789419.82992343207
3811,060069.61829896327
3810,068391.33347898468
3819,052980.92903203756
3818,058285.69094664181
3817,024548.43342442090
3816,709723.53692220177
3815,065311.89102149850
3804,785113.30661533122
3803,061192.92606784259
3802,776685.82149662859
3801,783753.5564064705
3800,718006.10771021540
3809,028753.44230623387
3808,088940.34800621486
3807,026995.55505182431
3806,015329.70244356758
3805,074039.8803095938
3894,034846.3272657519
3893,034917.25734083818
3892,070922.86353868166
3891,070962.65109956365
3890,052070.65235855257
3899,059314.99657410837
3898,054985.85997968562
3897,052279.2136288167
3896,022312.2534074990
3895,015758.76332064439
3884,080879.13111902816
3883,411328.67430132199
3882,448032.70672205440
3881,477735.58131455688
3880,499660.7241564177
3889,766955.1646900286
3888,791751.9725957378
3887,403332.34069583010
3886,437416.78479718581
3885,793975.98340301007
3874,438363.223938136
3873,712201.05620064040
3872,488878.795727775
3871,798607.3195370809
3870,756951.5662933459
3879,068919.78704746281
3878,064318.38254504226
3877,708814.92763190000
3876,422461.8692015752
3875,404342.86609564250
3864,765463.406631185
3863,757144.045354133
3862,728662.90281378848
3861,702604.17014799311
3860,730823.7229676008
3869,094244.99249981980
3868,737552.23633146152
3867,060944.5127796653
3866,704474.64566565762
3865,703622.35640613416
3854,731863.6132913402
3853,061389.46510059926
3852,751881.2770364468
3851,067895.18429025847
3850,027766.9434581750
3859,090722.10925824601
3858,759810.41391652281
